country,year,sex,age,suicides_no,population,rate
Denmark,1988,male,35-54 years,,706000,0
Denmark,1988,male,5-14 years,,317200,0
Denmark,1988,male,55-74 years,,446500,0
Denmark,1988,male,75+ years,,127100,0
Denmark,1989,female,15-24 years,,376900,0
Denmark,1989,female,25-34 years,,371000,0
Denmark,1989,female,35-54 years,,695200,0
Denmark,1989,female,5-14 years,,294800,0
Denmark,1989,female,55-74 years,,503300,0
Denmark,1989,female,75+ years,,224400,0
Denmark,1989,male,15-24 years,,397300,0
Denmark,1989,male,25-34 years,,391300,0
Denmark,1989,male,35-54 years,,714800,0
Denmark,1989,male,5-14 years,,307600,0
Denmark,1989,male,55-74 years,,444100,0
Denmark,1989,male,75+ years,,129000,0
Denmark,1990,female,15-24 years,,372700,0
Denmark,1990,female,25-34 years,,375600,0
Denmark,1990,female,35-54 years,,703100,0
Denmark,1990,female,5-14 years,,285800,0
Denmark,1990,female,55-74 years,,501100,0
Denmark,1990,female,75+ years,,227000,0
Denmark,1990,male,15-24 years,,391400,0
Denmark,1990,male,25-34 years,,396300,0
Denmark,1990,male,35-54 years,,723600,0
Denmark,1990,male,5-14 years,,298400,0
Denmark,1990,male,55-74 years,,443200,0
Denmark,1990,male,75+ years,,130300,0
Denmark,1991,female,15-24 years,,365900,0
Denmark,1991,female,25-34 years,,382400,0
Denmark,1991,female,35-54 years,,711100,0
Denmark,1991,female,5-14 years,,279400,0
Denmark,1991,female,55-74 years,,499700,0
Denmark,1991,female,75+ years,,229100,0
Denmark,1991,male,15-24 years,,383600,0
Denmark,1991,male,25-34 years,,403300,0
Denmark,1991,male,35-54 years,,732300,0
Denmark,1991,male,5-14 years,,291800,0
Denmark,1991,male,55-74 years,,442700,0
Denmark,1991,male,75+ years,,131200,0
Denmark,1992,female,15-24 years,,356200,0
Denmark,1992,female,25-34 years,,388500,0
Denmark,1992,female,35-54 years,,718800,0
Denmark,1992,female,5-14 years,,276800,0
Denmark,1992,female,55-74 years,,499300,0
Denmark,1992,female,75+ years,,230000,0
Denmark,1992,male,15-24 years,,372800,0
Denmark,1992,male,25-34 years,,410400,0
Denmark,1992,male,35-54 years,,741100,0
Denmark,1992,male,5-14 years,,289400,0
Denmark,1992,male,55-74 years,,444000,0
Denmark,1992,male,75+ years,,131500,0
Denmark,1993,female,15-24 years,,350300,0
Denmark,1993,female,25-34 years,,391700,0
Denmark,1993,female,35-54 years,,725700,0
Denmark,1993,female,5-14 years,,274800,0
Denmark,1993,female,55-74 years,,499200,0
Denmark,1993,female,75+ years,,231100,0
Denmark,1993,male,15-24 years,,366300,0
Denmark,1993,male,25-34 years,,413200,0
Denmark,1993,male,35-54 years,,749000,0
Denmark,1993,male,5-14 years,,287800,0
Denmark,1993,male,55-74 years,,445800,0
Denmark,1993,male,75+ years,,132000,0
Denmark,1994,female,15-24 years,13,346100,3.756139844
Denmark,1994,female,25-34 years,23,392600,5.858380031
Denmark,1994,female,35-54 years,113,732100,15.43504986
Denmark,1994,female,5-14 years,0,274900,0
Denmark,1994,female,55-74 years,100,500000,20
Denmark,1994,female,75+ years,70,230600,30.3555941
Denmark,1994,male,15-24 years,37,360900,10.25214741
Denmark,1994,male,25-34 years,85,414100,20.52644289
Denmark,1994,male,35-54 years,279,755600,36.92429857
Denmark,1994,male,5-14 years,1,288100,0.347101701
Denmark,1994,male,55-74 years,189,448200,42.1686747
Denmark,1994,male,75+ years,89,131700,67.5778284
Denmark,1995,female,15-24 years,8,341800,2.340550029
Denmark,1995,female,25-34 years,18,393200,4.577822991
Denmark,1995,female,35-54 years,108,739000,14.61434371
Denmark,1995,female,5-14 years,0,277500,0
Denmark,1995,female,55-74 years,102,498300,20.46959663
Denmark,1995,female,75+ years,63,233200,27.01543739
Denmark,1995,male,15-24 years,47,355700,13.21338206
Denmark,1995,male,25-34 years,108,413900,26.09325924
Denmark,1995,male,35-54 years,204,762400,26.75760756
Denmark,1995,male,5-14 years,1,291000,0.343642612
Denmark,1995,male,55-74 years,180,449600,40.03558719
Denmark,1995,male,75+ years,85,133500,63.67041199
Denmark,1996,female,15-24 years,8,335700,2.383080131
Denmark,1996,female,25-34 years,20,395400,5.058168943
Denmark,1996,female,35-54 years,115,747600,15.38255752
Denmark,1996,female,5-14 years,0,284500,0
Denmark,1996,female,55-74 years,71,498500,14.24272818
Denmark,1996,female,75+ years,47,234200,20.06831768
Denmark,1996,male,15-24 years,46,348400,13.2032147
Denmark,1996,male,25-34 years,83,416000,19.95192308
Denmark,1996,male,35-54 years,236,771800,30.57786991
Denmark,1996,male,5-14 years,1,298600,0.334896182
Denmark,1996,male,55-74 years,170,452400,37.57736516
Denmark,1996,male,75+ years,95,134200,70.78986587
Denmark,1997,female,15-24 years,17,326300,5.209929513
Denmark,1997,female,25-34 years,22,397100,5.540166205
Denmark,1997,female,35-54 years,84,753500,11.14797611
Denmark,1997,female,5-14 years,0,291000,0
Denmark,1997,female,55-74 years,88,501000,17.56487026
Denmark,1997,female,75+ years,46,236400,19.45854484
Denmark,1997,male,15-24 years,45,337600,13.32938389
Denmark,1997,male,25-34 years,79,417200,18.93576222
Denmark,1997,male,35-54 years,191,777200,24.57539887
Denmark,1997,male,5-14 years,3,306200,0.979751796
Denmark,1997,male,55-74 years,148,458400,32.28621291
Denmark,1997,male,75+ years,94,135400,69.4239291
Denmark,1998,female,15-24 years,9,316600,2.842703727
Denmark,1998,female,25-34 years,16,396400,4.036326942
Denmark,1998,female,35-54 years,79,756900,10.43731008
Denmark,1998,female,5-14 years,0,299400,0
Denmark,1998,female,55-74 years,74,507800,14.5726664
Denmark,1998,female,75+ years,38,237600,15.99326599
Denmark,1998,male,15-24 years,34,327800,10.37217816
Denmark,1998,male,25-34 years,84,414200,20.28005794
Denmark,1998,male,35-54 years,235,780300,30.11662181
Denmark,1998,male,5-14 years,2,314900,0.635122261
Denmark,1998,male,55-74 years,118,467900,25.2190639
Denmark,1998,male,75+ years,74,136600,54.1727672
Denmark,1999,female,15-24 years,7,308800,2.266839378
