country,year,sex,age,suicides_no,population,rate,Region
Albania,1996,male,55-74 years,3,179900,1.667593107,Europe
Albania,1996,male,75+ years,2,25400,7.874015748,Europe
Albania,1997,female,15-24 years,21,294000,7.142857143,Europe
Albania,1997,female,25-34 years,16,273900,5.84154801,Europe
Albania,1997,female,35-54 years,7,370100,1.891380708,Europe
Albania,1997,female,5-14 years,6,361800,1.658374793,Europe
Albania,1997,female,55-74 years,0,187000,0,Europe
Albania,1997,female,75+ years,2,42100,4.750593824,Europe
Albania,1997,male,15-24 years,33,244400,13.50245499,Europe
Albania,1997,male,25-34 years,36,236000,15.25423729,Europe
Albania,1997,male,35-54 years,30,380800,7.878151261,Europe
Albania,1997,male,5-14 years,4,381500,1.048492792,Europe
Albania,1997,male,55-74 years,12,180300,6.655574043,Europe
Albania,1997,male,75+ years,3,25400,11.81102362,Europe
Albania,1998,female,15-24 years,32,295600,10.82543978,Europe
Albania,1998,female,25-34 years,10,275300,3.632401017,Europe
Albania,1998,female,35-54 years,9,372100,2.418704649,Europe
Albania,1998,female,5-14 years,1,363800,0.274876306,Europe
Albania,1998,female,55-74 years,6,188200,3.188097768,Europe
Albania,1998,female,75+ years,0,42300,0,Europe
Albania,1998,male,15-24 years,27,248800,10.85209003,Europe
Albania,1998,male,25-34 years,26,240400,10.81530782,Europe
Albania,1998,male,35-54 years,29,388200,7.470376095,Europe
Albania,1998,male,5-14 years,2,388400,0.514933059,Europe
Albania,1998,male,55-74 years,9,183800,4.896626768,Europe
Albania,1998,male,75+ years,3,25800,11.62790698,Europe
Albania,1999,female,15-24 years,19,296800,6.401617251,Europe
Albania,1999,female,25-34 years,13,276500,4.701627486,Europe
Albania,1999,female,35-54 years,5,373600,1.338329764,Europe
Albania,1999,female,5-14 years,1,365200,0.273822563,Europe
Albania,1999,female,55-74 years,6,188800,3.177966102,Europe
Albania,1999,female,75+ years,4,42400,9.433962264,Europe
Albania,1999,male,15-24 years,24,250600,9.577015164,Europe
Albania,1999,male,25-34 years,19,242300,7.841518778,Europe
Albania,1999,male,35-54 years,31,391100,7.926361544,Europe
Albania,1999,male,5-14 years,0,391300,0,Europe
Albania,1999,male,55-74 years,14,185200,7.559395248,Europe
Albania,1999,male,75+ years,3,25900,11.58301158,Europe
Albania,2000,female,15-24 years,6,263900,2.27358848,Europe
Albania,2000,female,25-34 years,3,245800,1.220504475,Europe
Albania,2000,female,35-54 years,5,332200,1.505117399,Europe
Albania,2000,female,5-14 years,0,324700,0,Europe
Albania,2000,female,55-74 years,0,168000,0,Europe
Albania,2000,female,75+ years,2,37800,5.291005291,Europe
Albania,2000,male,15-24 years,5,240000,2.083333333,Europe
Albania,2000,male,25-34 years,17,232000,7.327586207,Europe
Albania,2000,male,35-54 years,4,374700,1.067520683,Europe
Albania,2000,male,5-14 years,1,374900,0.266737797,Europe
Albania,2000,male,55-74 years,10,177400,5.636978579,Europe
Albania,2000,male,75+ years,1,24900,4.016064257,Europe
Albania,2001,female,15-24 years,9,271359,3.316639581,Europe
Albania,2001,female,25-34 years,4,222771,1.79556585,Europe
Albania,2001,female,35-54 years,12,370191,3.241569892,Europe
Albania,2001,female,5-14 years,2,307356,0.650711227,Europe
Albania,2001,female,55-74 years,6,189799,3.161238995,Europe
Albania,2001,female,75+ years,2,47254,4.232445931,Europe
Albania,2001,male,15-24 years,10,256039,3.905654998,Europe
Albania,2001,male,25-34 years,22,206484,10.65457856,Europe
